farthest_distance,group
15.08433735,control
13.92771084,control
12.96385542,control
12.53012048,control
11.37349398,control
9.831325301,control
10.21686747,control
10.02409639,control
8.192771084,control
8.048192771,control
8.048192771,control
7.855421687,control
8.096385542,control
8.674698795,control
7.084337349,control
6.65060241,control
5.78313253,control
5.78313253,control
4.819277108,control
3.325301205,control
5.012048193,0.3
5.590361446,0.3
5.34939759,0.3
5.493975904,0.3
5.686746988,0.3
4.86746988,0.3
5.493975904,0.3
6.506024096,0.3
6.698795181,0.3
7.13253012,0.3
7.13253012,0.3
8.722891566,0.3
8.481927711,0.3
8.289156627,0.3
8.096385542,0.3
7.710843373,0.3
8.626506024,0.3
9.445783133,0.3
10.12048193,0.3
15.75903614,0.3
3.903614458,3
4.43373494,3
4.048192771,3
4.192771084,3
3.662650602,3
5.397590361,3
5.734939759,3
6.313253012,3
6.554216867,3
6.361445783,3
6.265060241,3
6.168674699,3
9.060240964,3
8.385542169,3
8.385542169,3
8.86746988,3
7.951807229,3
8.385542169,3
7.180722892,3
