"id","group","n_fish","n_shoal","n","mean","se","mean_n","design_effect","n_effective","sd_shoal","sd_fish"
"hawkey_2020_exp_001_assay_001","control",36,12,36,2013.653702,89.27469136,3,2,18,309.256602531101,535.64814816
"hawkey_2020_exp_002_assay_001","control",36,12,36,2013.653702,89.27469136,3,2,18,309.256602531101,535.64814816
"hawkey_2020_exp_003_assay_001","control",22,7.333333333,22,1.681254992,0.985561497,3.00000000013636,2.00000000006818,10.999999999625,2.66891315052551,4.62269317780397
"hawkey_2020_exp_004_assay_001","control",22,7.333333333,22,1.681254992,0.985561497,3.00000000013636,2.00000000006818,10.999999999625,2.66891315052551,4.62269317780397
"hawkey_2020_exp_005_assay_001","control",22,7.333333333,22,1.681254992,0.985561497,3.00000000013636,2.00000000006818,10.999999999625,2.66891315052551,4.62269317780397
"hawkey_2020_exp_001_assay_001","treatment",35,11.66666667,35,89.27469136,116.1816578,2.99999999914286,1.99999999957143,17.50000000375,396.835909184746,687.339956877578
"hawkey_2020_exp_002_assay_001","treatment",35,11.66666667,35,89.27469136,96.66005291,2.99999999914286,1.99999999957143,17.50000000375,330.156934448439,571.84858485419
"hawkey_2020_exp_003_assay_001","treatment",18,6,18,0.985561497,0.913413547,3,2,9,2.2373971142957,3.87528547866814
"hawkey_2020_exp_004_assay_001","treatment",22,7.333333333,22,0.985561497,0.962566845,3.00000000013636,2.00000000006818,10.999999999625,2.60664333854385,4.51483869967152
"hawkey_2020_exp_005_assay_001","treatment",20,6.666666667,20,0.985561497,1.388368984,2.99999999985,1.999999999925,10.000000000375,3.58475330237156,6.20897485215264
