id ,group ,n_fish,n_shoal,n,mean,se
hawkey_2020_exp_001_assay_001,control,36,12,36,2013.653702,89.27469136
hawkey_2020_exp_002_assay_001,control,36,12,36,2013.653702,89.27469136
hawkey_2020_exp_003_assay_001,control,22,7.333333333,22,1.681254992,0.985561497
hawkey_2020_exp_004_assay_001,control,22,7.333333333,22,1.681254992,0.985561497
hawkey_2020_exp_005_assay_001,control,22,7.333333333,22,1.681254992,0.985561497
hawkey_2020_exp_001_assay_001,treatment,35,11.66666667,35,89.27469136,116.1816578
hawkey_2020_exp_002_assay_001,treatment,35,11.66666667,35,89.27469136,96.66005291
hawkey_2020_exp_003_assay_001,treatment,18,6,18,0.985561497,0.913413547
hawkey_2020_exp_004_assay_001,treatment,22,7.333333333,22,0.985561497,0.962566845
hawkey_2020_exp_005_assay_001,treatment,20,6.666666667,20,0.985561497,1.388368984
