"id","group","n_shoal","n_fish","n","mean","sd","fish_sd","se","mean_n","design_effect","n_effective","sd_shoal","sd_fish"
"hussian_2020_exp_001_assay_007","control",10,30,30,4.522790698,1.879119629,1.879119629,0.343078736,3,2,15,1.08491022253161,1.8791196270756
"hussian_2020_exp_002_assay_007","control",10,30,30,4.522790698,1.879119629,1.879119629,0.343078736,3,2,15,1.08491022253161,1.8791196270756
"hussian_2020_exp_001_assay_008","control",10,30,30,34.96116994,16.83086704,16.83086704,3.072881847,3,2,15,9.71730561710505,16.8308670415004
"hussian_2020_exp_002_assay_008","control",10,30,30,34.96116994,16.83086704,16.83086704,3.072881847,3,2,15,9.71730561710505,16.8308670415004
"hussian_2020_exp_001_assay_009","control",10,30,30,4.637265937,1.020951922,1.020951922,0.189586012,3,2,15,0.599523610428014,1.03840535359845
"hussian_2020_exp_002_assay_009","control",10,30,30,4.637265937,1.020951922,1.020951922,0.189586012,3,2,15,0.599523610428014,1.03840535359845
"hussian_2020_exp_001_assay_010","control",10,30,30,4.068188737,1.137311429,1.137311429,0.359649453,3,2,15,1.13731143071368,1.96988118202494
"hussian_2020_exp_002_assay_010","control",10,30,30,4.068188737,1.137311429,1.137311429,0.359649453,3,2,15,1.13731143071368,1.96988118202494
"hussian_2020_exp_001_assay_011","control",10,30,30,3.141991342,0.710983744,0.710983744,0.134363298,3,2,15,0.424894055611947,0.735938092153888
"hussian_2020_exp_002_assay_011","control",10,30,30,3.141991342,0.710983744,0.710983744,0.134363298,3,2,15,0.424894055611947,0.735938092153888
"hussian_2020_exp_001_assay_012","control",10,30,30,5.337888199,1.157831398,1.157831398,0.211390125,3,2,15,0.668474269867701,1.15783139896337
"hussian_2020_exp_002_assay_012","control",10,30,30,5.337888199,1.157831398,1.157831398,0.211390125,3,2,15,0.668474269867701,1.15783139896337
"hussian_2020_exp_001_assay_007","treatment",10,30,30,2.787252369,0.83423103,0.83423103,0.160547837,3,2,15,0.507696838333454,0.879356718835625
"hussian_2020_exp_002_assay_007","treatment",10,30,30,2.766960706,0.788950919,0.788950919,0.146504508,3,2,15,0.46328793276236,0.802438238077961
"hussian_2020_exp_001_assay_008","treatment",10,30,30,12.74060282,12.95537076,12.95537076,2.540757244,3,2,15,8.03457987261218,13.9163005568346
"hussian_2020_exp_002_assay_008","treatment",10,30,30,27.56154587,16.18893126,16.18893126,2.818131207,3,2,15,8.91171335931945,15.4355403208316
"hussian_2020_exp_001_assay_009","treatment",10,30,30,4.837365898,0.796153889,0.796153889,0.156138624,3,2,15,0.49375368256463,0.855206464626175
"hussian_2020_exp_002_assay_009","treatment",10,30,30,4.879451039,1.370228059,1.370228059,0.242224388,3,2,15,0.765980770920358,1.32671761285484
"hussian_2020_exp_001_assay_010","treatment",10,30,30,4.248266531,0.621286367,0.621286367,0.207095456,3,2,15,0.654893334031184,1.13430852808019
"hussian_2020_exp_002_assay_010","treatment",10,30,30,4.571744846,0.989263847,0.989263847,0.298274273,3,2,15,0.943226070110864,1.63371547645554
"hussian_2020_exp_001_assay_011","treatment",10,30,30,3.371212121,0.586273156,0.586273156,0.119672507,3,2,15,0.378437695422444,0.655473315970949
"hussian_2020_exp_002_assay_011","treatment",10,30,30,3.433766234,0.977543212,0.977543212,0.184738303,3,2,15,0.584193808554317,1.01185335788324
"hussian_2020_exp_001_assay_012","treatment",10,30,30,4.047389004,0.534639472,0.534639472,0.102891414,3,2,15,0.325371219915336,0.563559484214029
"hussian_2020_exp_002_assay_012","treatment",10,30,30,4.766692547,1.041316106,1.041316106,0.18408042,3,2,15,0.582113399840413,1.00824998429025
