"id","group","n_shoal","n_fish","mean","se","mean_n","design_effect","n_effective","sd_shoal","sd_fish"
"lei_2022_exp_001_assay_002","control",3,24,0.216495363,0.02073975,8,4.5,5.33333333333333,0.0359223007362766,0.101603609785775
"lei_2022_exp_002_assay_002","control",3,24,0.216495363,0.02073975,8,4.5,5.33333333333333,0.0359223007362766,0.101603609785775
"lei_2022_exp_003_assay_002","control",3,24,0.216495363,0.02073975,8,4.5,5.33333333333333,0.0359223007362766,0.101603609785775
"lei_2022_exp_001_assay_003","control",3,24,0.111778092,0.073630358,8,4.5,5.33333333333333,0.127531521035486,0.360713613356907
"lei_2022_exp_002_assay_003","control",3,24,0.111778092,0.073630358,8,4.5,5.33333333333333,0.127531521035486,0.360713613356907
"lei_2022_exp_003_assay_003","control",3,24,0.111778092,0.073630358,8,4.5,5.33333333333333,0.127531521035486,0.360713613356907
"lei_2022_exp_001_assay_002","treatment",3,24,0.241332514,0.024956164,8,4.5,5.33333333333333,0.0432253440100213,0.12225973547443
"lei_2022_exp_002_assay_002","treatment",3,24,0.203639129,0.0114828,8,4.5,5.33333333333333,0.0198887930131519,0.0562540016368613
"lei_2022_exp_003_assay_002","treatment",3,24,0.225795618,0.01396052,8,4.5,5.33333333333333,0.0241803299400815,0.0683923010878388
"lei_2022_exp_001_assay_003","treatment",3,24,0.15949484,0.096709364,8,4.5,5.33333333333333,0.167505532015673,0.473777190298169
"lei_2022_exp_002_assay_003","treatment",3,24,0.151126673,0.094886987,8,4.5,5.33333333333333,0.164349082461128,0.464849402760202
"lei_2022_exp_003_assay_003","treatment",3,24,0.118276173,0.076735472,8,4.5,5.33333333333333,0.132909736246779,0.375925503143252
