id,group,n_shoal,n_fish,mean,se
lei_2022_exp_001_assay_002,control,3,24,0.216495363,0.02073975
lei_2022_exp_002_assay_002,control,3,24,0.216495363,0.02073975
lei_2022_exp_003_assay_002,control,3,24,0.216495363,0.02073975
lei_2022_exp_001_assay_003,control,3,24,0.111778092,0.073630358
lei_2022_exp_002_assay_003,control,3,24,0.111778092,0.073630358
lei_2022_exp_003_assay_003,control,3,24,0.111778092,0.073630358
lei_2022_exp_001_assay_002,treatment,3,24,0.241332514,0.024956164
lei_2022_exp_002_assay_002,treatment,3,24,0.203639129,0.0114828
lei_2022_exp_003_assay_002,treatment,3,24,0.225795618,0.01396052
lei_2022_exp_001_assay_003,treatment,3,24,0.15949484,0.096709364
lei_2022_exp_002_assay_003,treatment,3,24,0.151126673,0.094886987
lei_2022_exp_003_assay_003,treatment,3,24,0.118276173,0.076735472
