"...1","...2","mean","se","n","sd"
"sanchez_2021_exp_001_assay_003","control",215.91,72.04,20,322.17267419817
"sanchez_2021_exp_002_assay_003","control",215.91,72.04,20,322.17267419817
"sanchez_2021_exp_003_assay_003","control",215.91,72.04,20,322.17267419817
"sanchez_2021_exp_001_assay_004","control",43.75,6.12,20,27.3694720445974
"sanchez_2021_exp_002_assay_004","control",43.75,6.12,20,27.3694720445974
"sanchez_2021_exp_003_assay_004","control",43.75,6.12,20,27.3694720445974
"sanchez_2021_exp_001_assay_005","control",74.71,18.02,20,80.5878899090924
"sanchez_2021_exp_002_assay_005","control",74.71,18.02,20,80.5878899090924
"sanchez_2021_exp_003_assay_005","control",74.71,18.02,20,80.5878899090924
"sanchez_2021_exp_001_assay_006","control",20.13,6.49,20,29.0241623479473
"sanchez_2021_exp_002_assay_006","control",20.13,6.49,20,29.0241623479473
"sanchez_2021_exp_003_assay_006","control",20.13,6.49,20,29.0241623479473
"sanchez_2021_exp_001_assay_003","treatment",274,80.1,20,358.218089995466
"sanchez_2021_exp_002_assay_003","treatment",98.08,24.5,20,109.56733089749
"sanchez_2021_exp_003_assay_003","treatment",158.26,42.12,20,188.366366424582
"sanchez_2021_exp_001_assay_004","treatment",40.56,8.67,20,38.7734187298464
"sanchez_2021_exp_002_assay_004","treatment",21.38,6.09,20,27.2353079659474
"sanchez_2021_exp_003_assay_004","treatment",36.78,7.55,20,33.7646264602468
"sanchez_2021_exp_001_assay_005","treatment",62,12.67,20,56.6619625498447
"sanchez_2021_exp_002_assay_005","treatment",28.25,10.7,20,47.8518547184955
"sanchez_2021_exp_003_assay_005","treatment",40.22,9.6,20,42.932505167996
"sanchez_2021_exp_001_assay_006","treatment",20,4.08,20,18.2463146963983
"sanchez_2021_exp_002_assay_006","treatment",6.5,1.98,20,8.85482919089917
"sanchez_2021_exp_003_assay_006","treatment",11,2.16,20,9.65981366279909
