id,group,n_fish ,n_shoal,n,mean ,se
schmidel_2014_exp_001_assay_001,control,128,8,8,5.475168553,0.297012439
schmidel_2014_exp_002_assay_001,control,128,8,8,5.475168553,0.297012439
schmidel_2014_exp_001_assay_002,control,128,8,8,2.332679551,0.094788686
schmidel_2014_exp_002_assay_002,control,128,8,8,2.332679551,0.094788686
schmidel_2014_exp_001_assay_003,control,128,8,8,8.394611767,0.425891015
schmidel_2014_exp_002_assay_003,control,128,8,8,8.394611767,0.425891015
schmidel_2014_exp_001_assay_004,control,128,8,8,17.26240721,1.448471616
schmidel_2014_exp_002_assay_004,control,128,8,8,17.26240721,1.448471616
schmidel_2014_exp_001_assay_005,control,128,8,8,1432.073713,89.67088608
schmidel_2014_exp_002_assay_005,control,128,8,8,1432.073713,89.67088608
schmidel_2014_exp_001_assay_001,treatment,128,8,8,5.222157956,0.099004146
schmidel_2014_exp_002_assay_001,treatment,128,8,8,6.883227525,0.660027643
schmidel_2014_exp_001_assay_002,treatment,128,8,8,2.100973875,0.057926419
schmidel_2014_exp_002_assay_002,treatment,128,8,8,2.796090904,0.279100019
schmidel_2014_exp_001_assay_003,treatment,128,8,8,8.279948801,0.294847626
schmidel_2014_exp_002_assay_003,treatment,128,8,8,10.80253404,1.03196669
schmidel_2014_exp_001_assay_004,treatment,128,8,8,14.83271289,0.841048035
schmidel_2014_exp_002_assay_004,treatment,128,8,8,34.03225166,8.039737991
schmidel_2014_exp_001_assay_005,treatment,128,8,8,1519.795232,52.63291139
schmidel_2014_exp_002_assay_005,treatment,128,8,8,1067.542067,126.7088608
